,Ticker,Shares
1,MON,268.21858736983563
2,KMI,146.02845549024775
3,BAC,54.528261071012075
4,BK,41.07624280297498
5,MS,26.420398990267287
6,CMCSA,141.0603706840517
7,T,268.2119175183304
8,OXY,209.48397245328005
9,SLB,192.80612893999142
10,USB,115.25691699604745
11,KO,40.88613821395859
12,PFE,45.67788835578774
13,NEE,30.168270337334786
14,SO,36.55694532660162
15,CL,30.07789205261164
16,ORCL,86.52697923549613
17,SBUX,75.7845666426252
18,MO,146.40376518695348
19,CSCO,123.65630614299779
20,TXN,40.572970660831764
